"seqword_main_id","genus","species","strain","description","lineage","lineage","lineage","sequence","sequence_length","locus_length","left_border","fk_accessions_id"
2514,"Acidobacterium","capsulatum","ATCC 51196","Acidobacterium capsulatum ATCC 51196 chromosome I, NC_012483","Acidobacteria","Acidobacteria",1,4127356,4127356,0,2529,
872,"Solibacter","usitatus","Ellin6076","Solibacter usitatus Ellin6076 chromosome I, NC_008536","Acidobacteria","Acidobacteria",1,9965640,9965640,0,872,
8,"Acidobacteria","bacterium","Ellin345","Acidobacteria bacterium Ellin345 chromosome I, NC_008009","Acidobacteria","Acidobacteria",1,5650368,5650368,0,8,
374,"Frankia","alni","ACN14a","Frankia alni ACN14a chromosome I, NC_008278","Actinobacteria","Actinobacteria",1,7497934,7497934,0,374,
55,"Arthrobacter","sp.","FB24","Arthrobacter sp. FB24 chromosome I, NC_008541","Actinobacteria","Actinobacteria",1,4698945,4698945,0,55,
2511,"Mycobacterium","bovis","AF2122-97","Mycobacterium bovis AF2122-97 chromosome I, NC_002945","Actinobacteria","Actinobacteria",1,4345492,4345492,0,2526,
1454,"Renibacterium","salmoninarum","ATCC 33209","Renibacterium salmoninarum ATCC 33209 chromosome I, NC_010168","Actinobacteria","Actinobacteria",1,671254,671254,0,1469,
990,"Tropheryma","whipplei","TW08_27","Tropheryma whipplei TW08_27 chromosome I, NC_004551","Actinobacteria","Actinobacteria",1,925938,925938,0,990,
282,"Corynebacterium","efficiens","YS-314","Corynebacterium efficiens YS-314 chromosome I, NC_004369","Actinobacteria","Actinobacteria",1,3147090,3147090,0,282,
807,"Saccharopolyspora","erythraea","NRRL 2338","Saccharopolyspora erythraea NRRL 2338 chromosome I, NC_009142","Actinobacteria","Actinobacteria",1,8212805,8212805,0,807,
286,"Corynebacterium","jeikeium","K411","Corynebacterium jeikeium K411 chromosome I, NC_007164","Actinobacteria","Actinobacteria",1,2462499,2462499,0,286,
576,"Mycobacterium","tuberculosis","CDC1551","Mycobacterium tuberculosis CDC1551 chromosome I, NC_002755","Actinobacteria","Actinobacteria",1,4403836,4403836,0,576,
937,"Streptomyces","avermitilis","MA-4680","Streptomyces avermitilis MA-4680 chromosome I, NC_003155","Actinobacteria","Actinobacteria",1,9025608,9025608,0,937,
991,"Tropheryma","whipplei","Twist","Tropheryma whipplei Twist chromosome I, NC_004572","Actinobacteria","Actinobacteria",1,927303,927303,0,991,
